ID,Census Tract,Walk Score
42003010300,10300,82
42003020100,20100,100
42003020300,20300,83
42003030500,30500,77
42003040200,40200,71
42003040400,40400,82
42003040500,40500,78
42003040600,40600,75
42003040900,40900,68
42003050100,50100,60
42003050600,50600,74
42003050900,50900,77
42003051000,51000,58
42003051100,51100,62
42003060300,60300,91
42003060500,60500,88
42003070300,70300,91
42003070500,70500,88
42003070600,70600,77
42003070800,70800,88
42003070900,70900,89
42003080200,80200,82
42003080400,80400,86
42003080600,80600,82
42003080700,80700,86
42003080900,80900,86
42003090100,90100,72
42003090200,90200,86
42003090300,90300,86
42003100500,100500,29
42003101100,101100,49
42003101400,101400,40
42003101600,101600,52
42003101700,101700,66
42003101800,101800,28
42003110200,110200,54
42003110600,110600,51
42003111300,111300,63
42003111400,111400,69
42003111500,111500,86
42003120300,120300,37
42003120400,120400,60
42003120700,120700,68
42003120800,120800,75
42003130100,130100,38
42003130200,130200,57
42003130300,130300,71
42003130400,130400,62
42003130600,130600,32
42003140100,140100,66
42003140200,140200,72
42003140300,140300,80
42003140400,140400,54
42003140500,140500,72
42003140600,140600,68
42003140800,140800,88
42003141000,141000,71
42003141100,141100,35
42003141300,141300,80
42003141400,141400,43
42003151600,151600,48
42003151700,151700,63
42003160800,160800,65
42003160900,160900,75
42003170200,170200,85
42003170600,170600,65
42003180300,180300,63
42003180700,180700,65
42003190300,190300,77
42003191100,191100,40
42003191400,191400,71
42003191500,191500,45
42003191600,191600,37
42003191700,191700,29
42003191800,191800,51
42003191900,191900,65
42003192000,192000,57
42003202200,202200,48
42003202300,202300,48
42003210700,210700,68
42003220600,220600,89
42003240600,240600,68
42003241200,241200,54
42003250300,250300,83
42003250700,250700,58
42003250900,250900,54
42003260200,260200,26
42003260700,260700,29
42003260900,260900,23
42003261200,261200,9
42003261400,261400,49
42003261500,261500,40
42003262000,262000,49
42003270100,270100,48
42003270300,270300,55
42003270400,270400,48
42003270800,270800,43
42003271500,271500,45
42003281400,281400,28
42003281500,281500,37
42003290100,290100,48
42003290200,290200,49
42003290400,290400,65
42003300100,300100,58
42003310200,310200,20
42003310300,310300,2
42003320400,320400,57
42003320600,320600,40
42003320700,320700,42
42003401100,401100,35
42003401200,401200,37
42003401300,401300,26
42003402000,402000,35
42003403500,403500,71
42003404000,404000,9
42003405000,405000,3
42003406000,406000,0
42003407001,407001,6
42003407002,407002,3
42003408001,408001,23
42003408002,408002,23
42003409000,409000,2
42003410000,410000,12
42003411000,411000,11
42003412001,412001,12
42003412002,412002,5
42003413100,413100,11
42003413201,413201,34
42003413202,413202,38
42003413300,413300,34
42003413400,413400,23
42003413500,413500,20
42003414101,414101,23
42003414102,414102,29
42003414200,414200,9
42003415001,415001,31
42003415002,415002,18
42003416000,416000,14
42003417100,417100,62
42003417200,417200,58
42003418000,418000,52
42003419000,419000,26
42003420000,420000,58
42003421100,421100,31
42003421200,421200,6
42003422000,422000,6
42003423000,423000,62
42003424000,424000,42
42003425000,425000,46
42003426300,426300,22
42003426400,426400,46
42003426700,426700,32
42003426800,426800,20
42003427000,427000,55
42003427100,427100,18
42003427200,427200,31
42003428100,428100,43
42003428200,428200,11
42003429100,429100,12
42003429201,429201,40
42003429202,429202,3
42003429300,429300,37
42003429400,429400,46
42003429500,429500,46
42003429600,429600,28
42003429700,429700,23
42003430100,430100,49
42003430200,430200,55
42003431100,431100,52
42003431400,431400,42
42003431500,431500,60
42003432300,432300,38
42003432400,432400,45
42003434000,434000,25
42003435000,435000,22
42003437000,437000,14
42003439000,439000,2
42003445500,445500,97
42003446000,446000,22
42003447000,447000,25
42003448000,448000,38
42003449000,449000,11
42003450700,450700,49
42003450800,450800,62
42003451101,451101,11
42003451102,451102,15
42003451104,451104,9
42003451105,451105,20
42003451300,451300,8
42003452000,452000,0
42003453003,453003,3
42003453004,453004,15
42003455000,455000,23
42003456001,456001,3
42003456003,456003,2
42003456004,456004,11
42003457100,457100,71
42003457200,457200,48
42003458000,458000,6
42003459101,459101,9
42003459102,459102,15
42003459201,459201,34
42003459202,459202,25
42003460001,460001,14
42003460002,460002,31
42003461000,461000,11
42003462100,462100,29
42003462600,462600,55
42003463900,463900,52
42003464300,464300,49
42003464400,464400,62
42003465600,465600,55
42003465800,465800,35
42003468700,468700,46
42003468800,468800,52
42003468900,468900,54
42003469000,469000,55
42003470300,470300,28
42003470400,470400,25
42003470501,470501,40
42003470502,470502,42
42003470600,470600,54
42003471000,471000,54
42003472100,472100,74
42003472200,472200,78
42003472300,472300,77
42003472400,472400,75
42003473100,473100,60
42003473200,473200,83
42003473300,473300,37
42003473401,473401,57
42003473402,473402,49
42003473500,473500,45
42003473601,473601,45
42003473602,473602,26
42003474101,474101,17
42003474102,474102,28
42003474201,474201,12
42003474202,474202,15
42003474203,474203,23
42003475101,475101,52
42003475102,475102,38
42003475200,475200,43
42003475301,475301,54
42003475303,475303,15
42003475304,475304,23
42003475401,475401,37
42003475402,475402,17
42003476100,476100,71
42003476200,476200,48
42003477100,477100,51
42003477200,477200,29
42003477300,477300,48
42003478100,478100,62
42003478200,478200,63
42003479000,479000,34
42003480101,480101,52
42003480102,480102,31
42003480200,480200,35
42003480300,480300,18
42003480400,480400,25
42003481000,481000,68
42003482500,482500,38
42003483800,483800,74
42003484300,484300,55
42003484500,484500,35
42003484600,484600,31
42003485000,485000,38
42003486700,486700,31
42003486800,486800,40
42003486900,486900,34
42003487000,487000,18
42003488100,488100,25
42003488200,488200,32
42003488300,488300,12
42003488400,488400,34
42003488500,488500,15
42003488600,488600,15
42003489001,489001,62
42003489002,489002,51
42003490002,490002,26
42003490003,490003,15
42003490004,490004,17
42003491101,491101,9
42003491200,491200,11
42003492700,492700,29
42003492800,492800,57
42003492900,492900,29
42003494000,494000,51
42003495000,495000,6
42003496101,496101,9
42003496102,496102,8
42003496200,496200,3
42003497000,497000,3
42003498000,498000,26
42003499300,499300,29
42003499400,499400,40
42003500300,500300,32
42003501000,501000,40
42003503002,503002,42
42003504100,504100,38
42003507000,507000,42
42003508000,508000,31
42003509400,509400,40
42003510000,510000,54
42003512000,512000,45
42003512800,512800,40
42003512900,512900,42
42003513800,513800,52
42003514000,514000,42
42003515100,515100,57
42003515200,515200,69
42003515300,515300,63
42003515401,515401,69
42003516100,516100,71
42003516200,516200,54
42003517000,517000,43
42003518001,518001,37
42003519000,519000,17
42003520001,520001,51
42003520002,520002,28
42003521100,521100,29
42003521200,521200,49
42003521301,521301,15
42003521302,521302,14
42003521401,521401,9
42003521402,521402,9
42003521500,521500,22
42003522000,522000,28
42003523100,523100,9
42003523200,523200,29
42003523300,523300,25
42003523400,523400,40
42003523501,523501,32
42003523502,523502,34
42003523600,523600,15
42003523701,523701,6
42003523702,523702,31
42003523800,523800,18
42003524000,524000,60
42003525100,525100,42
42003525200,525200,83
42003525300,525300,69
42003526101,526101,3
42003526102,526102,0
42003526201,526201,18
42003526202,526202,18
42003526301,526301,18
42003526302,526302,37
42003550900,550900,52
42003551200,551200,46
42003551300,551300,32
42003551900,551900,48
42003552000,552000,32
42003552100,552100,48
42003552200,552200,45
42003552300,552300,45
42003552400,552400,32
42003560400,560400,72
42003560500,560500,69
42003560600,560600,72
42003561000,561000,45
42003561100,561100,57
42003561200,561200,71
42003561400,561400,29
42003561500,561500,37
42003561600,561600,26
42003561700,561700,26
42003561900,561900,25
42003562000,562000,75
42003562300,562300,31
42003562400,562400,40
42003562500,562500,48
42003562600,562600,42
42003562700,562700,86
42003562800,562800,42
42003562900,562900,18
42003563000,563000,22
42003563100,563100,54
42003563200,563200,72
42003563300,563300,9
42003563800,563800,3
42003563900,563900,55
42003564000,564000,3
42003564100,564100,28
42003564200,564200,25
42003564400,564400,40
42003564500,564500,2
42003980000,980000,72
42003980100,980100,43
42003980300,980300,42
42003980400,980400,29
42003980500,980500,43
42003980600,980600,62
42003980700,980700,72
42003980800,980800,74
42003980900,980900,35
42003981000,981000,54
42003981100,981100,51
42003981200,981200,75
42003981800,981800,35
42003982200,982200,82
